IPS1,IPS2,IPS3,IPS4,IPS5,IPS6,IPS7,IPS8,IPK ,Status Kelulusan
2.76,2.8,3.2,3.17,2.98,3,3.03,2,2.87,0
3,3.3,3.14,3.14,2.84,3.13,3.25,2,2.98,0
3.5,3.3,3.7,3.29,3.53,3.72,3.73,2,3.35,1
3.17,3.41,3.61,3.36,3.48,3.63,3.46,2,3.27,1
2.9,2.89,3.3,2.85,2.98,3,3.08,2,2.88,0
2.95,2.82,3.09,3.1,2.78,3.16,3.23,2,2.89,0
2.76,3.14,2.6,2.95,3.23,3.33,3.3,3.3,3.08,1
2.62,2.89,2.32,2.5,2.5,2.86,3.05,2.5,2.66,0
3.6,3.54,3.52,3.39,3.52,3.68,3.15,2,3.30,1
2.71,2.55,1.77,2.11,1.93,2.13,1.78,0.2,1.90,0
3.14,3.46,3.4,3.43,3.27,3.15,3.81,4,3.46,1
2.67,2.3,1.57,1.44,1.58,1.68,1.13,0.94,1.66,0
2.57,2.82,2.2,2.45,2.1,2.42,1,1.42,2.12,0
2.71,3,2.65,2.27,2.13,3.34,2.5,1,2.45,0
3.24,3.38,3.44,3.3,3.56,3.45,3.35,3.35,3.38,1
2.86,2.86,2.45,1.86,3.19,3.14,2.98,2,2.67,0
2.71,3.27,2.54,3.36,3.23,3.28,3.15,2,2.94,0
2.67,2.2,1.45,3,3.17,3.08,3.33,1,2.49,0
2.67,2.68,1.95,1.61,2.36,2.21,0.78,0.92,1.90,0
3.1,3.71,2.96,3.4,3.4,3.61,3.73,3,3.36,1
3,3.33,2.88,2.8,3.36,3.07,3.43,4,3.23,1
3.12,3.23,2.96,3,3.31,3,3.08,3,3.09,1
2.9,3.32,2.83,2.91,3.3,2.83,3.27,4,3.17,1
2.95,3.41,3.48,3.24,2.95,3,2.75,1,2.85,0
3.05,2.92,2.27,2.65,3,3.45,3.24,2,2.82,0
2.64,3,2.9,2.77,3.25,3.5,3.22,2,2.91,0
2.45,2.45,2.14,1.95,1.82,2.66,1.61,1,2.01,0
0.33,2.9,3.16,2.35,3.09,2.96,3.24,3.45,2.69,0
3.33,3.63,3.29,3.89,3.6,3.13,3.35,3.35,3.45,1
3.05,3.38,3.21,2.93,2.83,3.33,3.39,2.5,3.08,1
2.52,2.75,2.25,2.5,2.64,2.87,3.2,2,2.59,0
3.12,3.1,2.73,2.8,3.07,3.31,2.77,2.77,2.96,0
2.71,3.16,2.44,2.91,3.02,2.98,3.36,3.21,2.97,0
3.26,3.73,3.02,3.5,2.69,3.33,3.09,3.5,3.27,1
2.71,2.89,2.75,3.18,3.19,3.22,3.73,3,3.08,1
2.88,3.48,3.17,2.5,2.77,3.53,3.3,3,3.08,1
3.02,3.63,3.42,3.37,3.15,3.27,3.63,3,3.31,1
3.31,3.6,3.67,3.57,3.56,3.87,3.78,3,3.55,1
2.48,2.48,2.23,2.09,1.45,2.42,2.05,2.58,2.22,0
2.9,3.55,3.38,3.54,3.23,3.39,3.53,3,3.32,1
2.83,3.61,3.18,3.23,3.02,3.2,3.18,3,3.16,1
2.38,2.7,3.02,3,3.26,3,0.62,0.35,2.29,0
3.24,3.83,3.65,3.61,3.69,3.73,3.7,3,3.56,1
3.43,3.56,3.55,3.67,3.35,3.66,3.6,3,3.48,1
3.76,3.81,3.17,3.63,3.81,3.81,3.7,3,3.59,1
3.64,3.96,3.69,3.83,3.81,4,3.85,3,3.72,1
3.05,2.35,3.39,2.5,2.84,2.4,1.67,3,2.65,0
3.71,3.6,3.6,3.61,3.83,3.53,2.42,3,3.41,1
3,2.83,3.57,3.26,3.83,3.33,2.43,3,3.16,1
2.76,2.53,2.98,2.71,2.64,3.03,3.06,3,2.84,0
